@relation train_playmethod_class1_class2_V2

@attribute temporalCentroid numeric
@attribute LogSpecCentroid numeric
@attribute LogSpecSpread numeric
@attribute Energy numeric
@attribute ZeroCrossings numeric
@attribute SpecCentroid numeric
@attribute SpecSpread numeric
@attribute Rolloff numeric
@attribute Flux numeric
@attribute bandsCoefSum numeric
@attribute prjmin numeric
@attribute prjmax numeric
@attribute prjsum numeric
@attribute prjdis numeric
@attribute prjstd numeric
@attribute LogAttackTime numeric
@attribute playmethod {blown,string,struck_Hrm}
@attribute class1 {aerophone,chordophone}
@attribute class2 {aero_single-reed,chrd_composite,aero_lip-vibrated,chrd_simple,aero_double-reed,aero_free-reed,aero_side}
@attribute mix1_instrument {TenorSaxophone,ElectricGuitar,DTrumpet,TenorTrombone,Violin,CTrumpet,B-flatclarinet,Piano,DoubleBass,Oboe,Accordian}

@data
1.471448,-0.144081,1.145664,-0.002242,251,617.3622,505.1145,1302.759,0,361.5249,-0.997718,0.043441,-0.028037,37.27615,0.171805,0.326642,blown,aerophone,aero_single-reed,TenorSaxophone
1.067843,-1.341474,0.758073,-0.002264,127,230.0561,147.8445,390.2893,0.000008,327.0321,-0.996454,0.017735,-0.031735,36.60662,0.17116,-0.414578,string,chordophone,chrd_composite,ElectricGuitar
1.390276,-0.871131,1.399465,0.001612,109,386.9952,298.4545,767.1204,161000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,402.2791,-0.992867,0.027467,-0.035056,38.81991,0.170511,-0.231911,blown,aerophone,aero_lip-vibrated,CTrumpet
1.799928,-1.464474,0.654698,0.007359,126,203.2069,108.8678,387.5977,0,439.4172,-0.999158,0.018067,-0.031542,34.76771,0.171196,-0.342086,string,chordophone,chrd_composite,ElectricGuitar
1.299325,-0.228064,0.931377,0.002215,327,517.3092,317.0306,1038.977,0,368.7317,-0.99818,0.056459,-0.028682,35.56655,0.171699,0.098797,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.693705,-0.811437,0.709938,0.007989,126,327.8489,222.1615,519.4885,0,385.2126,-0.99937,0.027419,-0.029683,34.60286,0.171528,0.327032,blown,aerophone,aero_single-reed,TenorSaxophone
1.388541,-0.238967,1.347125,-0.008831,270,586.6338,411.2985,1044.36,0,359.3964,-0.999229,0.027466,-0.028583,35.18751,0.171715,-0.32253,blown,aerophone,aero_lip-vibrated,CTrumpet
0.816817,-2.152447,1.549153,-0.000899,83,153.2425,149.2212,258.3984,0,490.6424,-0.99896,0.022345,-0.030103,36.17565,0.171455,-0.669145,struck_Hrm,chordophone,chrd_simple,Piano
1.396315,0.128185,1.097363,0.001801,282,715.4559,518.9085,1431.958,0,350.7944,-0.997395,0.047002,-0.028374,37.27334,0.17175,-0.095031,blown,aerophone,aero_single-reed,TenorSaxophone
1.906808,-1.37121,0.998003,-0.007195,109,258.4312,243.0387,392.981,0,430.9415,-0.997466,0.011916,-0.032709,36.94197,0.170977,-0.022712,blown,aerophone,aero_single-reed,B-flatclarinet
1.073628,-1.551596,0.612298,-0.002371,107,189.2769,100.3769,261.0901,0,453.7329,-0.996728,0.072538,-0.029898,36.90198,0.171491,-0.476059,string,chordophone,chrd_composite,ElectricGuitar
1.300985,-0.449021,1.239663,0.003389,223,525.478,495.2467,783.2703,0.000004,252.3314,-0.996232,0.076284,-0.027108,37.79336,0.171954,-0.122699,string,chordophone,chrd_composite,DoubleBass
1.000043,-0.194676,0.820802,-0.002323,284,498.7956,225.7547,651.3794,0,361.8531,-0.999275,0.014794,-0.029716,35.58085,0.171523,-0.173352,blown,aerophone,aero_double-reed,Oboe
1.018828,-0.634965,0.7321,-0.002093,209,364.5608,202.0762,516.7969,0,390.7245,-0.999237,0.022988,-0.028809,35.12759,0.171677,0.069723,blown,aerophone,aero_lip-vibrated,TenorTrombone
0.999821,-0.077582,0.776691,-0.002076,252,530.8365,225.4593,651.3794,0,357.258,-0.999015,0.034111,-0.028901,35.63266,0.171662,0.055009,blown,aerophone,aero_double-reed,Oboe
1.035114,-0.536876,0.763138,0.001005,326,393.1926,213.4597,519.4885,0,377.6679,-0.99939,0.012042,-0.030541,34.60747,0.171378,0.218593,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.679426,-0.819663,0.685637,0.002723,168,322.7568,216.7285,392.981,0,377.836,-0.99914,0.017802,-0.030703,35.27942,0.171349,0.297961,blown,aerophone,aero_single-reed,TenorSaxophone
1.512944,-1.031347,1.22529,-0.005748,235,365.5107,362.482,788.6536,0.000002,349.7035,-0.999616,0.016125,-0.028981,34.41814,0.171648,0.054358,blown,aerophone,aero_single-reed,B-flatclarinet
1.000043,-0.248549,0.847114,-0.003601,294,485.1793,225.7353,651.3794,0,373.7416,-0.998554,0.027787,-0.030664,36.40977,0.171356,-0.173352,blown,aerophone,aero_double-reed,Oboe
1.132893,-1.321093,0.705068,-0.007565,126,227.1462,122.6478,390.2893,0,403.7094,-0.997691,0.046534,-0.029123,36.8355,0.171624,-0.712472,string,chordophone,chrd_composite,ElectricGuitar
1.045776,-0.045651,0.75797,-0.005055,314,540.8927,224.8237,654.071,0,359.2315,-0.998899,0.034395,-0.029491,35.68882,0.171561,0.204729,blown,aerophone,aero_double-reed,Oboe
1.012393,-0.340998,0.701382,-0.009618,247,439.0813,215.959,522.1802,0,374.55,-0.999472,0.025846,-0.029012,34.43843,0.171643,0.098561,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.523245,-0.118689,1.248139,-0.003001,325,613.8875,411.9496,1047.052,0,377.1768,-0.999063,0.025479,-0.031277,35.17809,0.171245,-0.237643,blown,aerophone,aero_lip-vibrated,CTrumpet
1.041239,-0.577832,0.717135,-0.00103,245,374.1456,176.3591,519.4885,0,383.249,-0.999449,0.022936,-0.029227,34.74058,0.171606,0.218611,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.075736,-0.61922,1.252442,0.001678,217,479.2719,494.2117,780.5786,0.000006,227.7613,-0.996644,0.045177,-0.031303,38.87269,0.17124,-0.276282,blown,aerophone,aero_free-reed,Accordian
0.873166,-2.140911,1.371203,-0.002733,65,147.8424,135.1096,131.8909,0,484.2753,-0.999107,0.023423,-0.029695,35.8765,0.171526,-0.669145,struck_Hrm,chordophone,chrd_simple,Piano
0.993458,-0.474433,1.286882,0.002622,267,532.4922,519.2392,783.2703,0.000006,232.1858,-0.997589,0.037325,-0.030308,37.80923,0.171419,-0.334808,blown,aerophone,aero_free-reed,Accordian
1.771543,-0.893211,1.221547,0.006411,188,385.062,330.7732,909.7778,0,388.5539,-0.99786,0.025424,-0.030453,35.97022,0.171393,-0.024803,blown,aerophone,aero_single-reed,B-flatclarinet
0.814554,-2.642822,2.892076,0.006145,152,209.048,194.5332,261.0901,0,535.9503,-0.997995,0.057817,-0.027876,35.97202,0.171831,-0.696319,struck_Hrm,chordophone,chrd_simple,Piano
1.67324,-0.710605,0.655594,-0.001465,126,347.2089,230.7537,522.1802,0,386.3087,-0.999218,0.029645,-0.028937,34.88406,0.171656,0.365883,blown,aerophone,aero_single-reed,TenorSaxophone
1.012393,-0.358979,0.718077,-0.003456,254,437.0074,230.5074,522.1802,0,345.5789,-0.999159,0.017708,-0.029843,35.31509,0.171501,0.098561,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.390276,0.188148,1.083193,-0.004161,290,693.2389,382.301,1044.36,0,370.0289,-0.999598,0.018243,-0.029861,34.35075,0.171497,-0.231911,blown,aerophone,aero_lip-vibrated,CTrumpet
0.966139,-1.812504,1.196364,-0.004187,89,178.8631,134.3103,261.0901,0,494.1673,-0.999443,0.016543,-0.030517,34.74812,0.171382,-0.669145,struck_Hrm,chordophone,chrd_simple,Piano
0.999821,-0.352107,1.02348,-0.003075,225,480.5753,261.9408,654.071,0,356.6178,-0.999119,0.027402,-0.027469,35.55257,0.171897,0.055009,blown,aerophone,aero_double-reed,Oboe
1.693705,-0.811437,0.709938,0.009253,126,327.8489,222.1615,519.4885,0,385.2126,-0.99937,0.027419,-0.029683,34.60286,0.171528,0.327032,blown,aerophone,aero_single-reed,TenorSaxophone
1.536829,-1.236462,0.932802,0.004308,190,266.2685,222.6753,382.2144,0,365.9427,-0.999212,0.028483,-0.029166,35.43972,0.171617,-0.252393,blown,aerophone,aero_lip-vibrated,CTrumpet
1.810818,-1.75357,0.456294,-0.004108,64,158.0546,73.6878,131.8909,0,486.5713,-0.996359,0.071243,-0.024818,36.9161,0.172299,-0.342021,string,chordophone,chrd_composite,ElectricGuitar
1.391502,-0.521297,1.395834,0.007376,208,508.9809,406.6891,915.1611,0,347.9654,-0.999458,0.022005,-0.02903,34.36573,0.17164,-0.2911,blown,aerophone,aero_lip-vibrated,CTrumpet
1.071612,-0.723852,1.27257,0.006535,227,457.833,491.8558,780.5786,0.000004,226.7277,-0.997554,0.040013,-0.030632,37.75522,0.171361,-0.276282,blown,aerophone,aero_free-reed,Accordian
1.512944,-0.887402,1.223939,0.00163,226,396.3099,373.7597,907.0862,0,354.2493,-0.999267,0.027074,-0.030154,35.35851,0.171446,0.054358,blown,aerophone,aero_single-reed,B-flatclarinet
1.850129,-0.953476,1.19563,-0.005437,189,368.5725,324.0854,909.7778,0,387.6858,-0.998237,0.019841,-0.031242,35.25845,0.171251,-0.026181,blown,aerophone,aero_single-reed,B-flatclarinet
1.22923,-0.152812,0.853255,0.005424,167,534.1893,340.8167,654.071,0.000001,344.2782,-0.999331,0.0185,-0.029642,35.32041,0.171535,-0.20188,blown,aerophone,aero_single-reed,TenorSaxophone
1.549887,-0.814408,1.118821,-0.002777,187,373.0487,288.4001,780.5786,0,387.0419,-0.998931,0.026407,-0.029043,35.90293,0.171638,-0.253451,blown,aerophone,aero_lip-vibrated,CTrumpet
1.810818,-0.959906,0.734145,0.001158,126,290.8842,145.2855,392.981,0,369.0865,-0.995015,0.017438,-0.032435,37.81974,0.171029,-0.342021,string,chordophone,chrd_composite,ElectricGuitar
1.693705,-0.832215,0.721091,-0.001611,126,324.5741,222.7419,519.4885,0,386.7674,-0.9994,0.027744,-0.028852,34.5848,0.17167,0.327032,blown,aerophone,aero_single-reed,TenorSaxophone
1.512944,-0.315194,1.17765,0.002484,300,538.5607,372.3477,915.1611,0.000001,352.9242,-0.99912,0.026786,-0.028128,35.69007,0.17179,0.054358,blown,aerophone,aero_single-reed,B-flatclarinet
0.79522,-2.441024,0.882359,-0.001506,60,107.1737,64.14582,131.8909,0,380.2771,-0.989666,0.026235,-0.033062,39.24508,0.170909,-0.696172,struck_Hrm,chordophone,chrd_simple,Piano
1.526102,-0.980182,1.238545,-0.000114,226,362.9798,329.3431,785.9619,0,368.319,-0.999213,0.028055,-0.030222,35.35228,0.171434,-0.312404,blown,aerophone,aero_lip-vibrated,CTrumpet
1.225879,-0.461984,0.852353,-0.002488,182,438.0808,314.3965,522.1802,0.000001,333.8415,-0.998684,0.024033,-0.031454,35.82499,0.171212,-0.055417,blown,aerophone,aero_single-reed,TenorSaxophone
1.391502,-0.52662,1.382003,0.006929,244,502.0201,395.6523,912.4695,0,358.5763,-0.999136,0.033732,-0.028985,35.05092,0.171648,-0.2911,blown,aerophone,aero_lip-vibrated,CTrumpet
1.300985,-0.186149,1.115302,0.00299,265,583.4775,489.1134,783.2703,0.000003,259.9585,-0.997071,0.065846,-0.026946,37.49733,0.17198,-0.122699,string,chordophone,chrd_composite,DoubleBass
1.021142,-0.049379,0.7996,0.003991,318,543.5979,221.4559,656.7627,0,367.1847,-0.999477,0.008976,-0.031024,34.50425,0.171291,0.08522,blown,aerophone,aero_double-reed,Oboe
1.67324,-0.727942,0.648067,-0.000368,125,341.8318,223.4811,519.4885,0,390.2186,-0.999443,0.027021,-0.029081,34.55395,0.171631,0.365883,blown,aerophone,aero_single-reed,TenorSaxophone
1.536829,-1.119486,1.048655,0.002712,172,305.7986,273.0624,524.8718,0,354.2296,-0.998714,0.03313,-0.031671,36.16134,0.171172,-0.252393,blown,aerophone,aero_lip-vibrated,CTrumpet
1.000043,-0.599931,1.087419,-0.00099,181,424.3094,276.1879,654.071,0,347.9969,-0.998897,0.024964,-0.030146,35.93804,0.171448,-0.173352,blown,aerophone,aero_double-reed,Oboe
0.945789,-1.507964,0.863228,-0.001306,184,226.5362,232.6269,387.5977,0.000002,323.5274,-0.999214,0.013024,-0.029852,35.20849,0.171499,-0.155578,string,chordophone,chrd_composite,Violin
0.998665,-0.290981,0.732845,0.005386,234,462.3181,262.0586,522.1802,0.000001,372.9831,-0.99982,0.011267,-0.030213,33.62288,0.171436,0.079501,blown,aerophone,aero_lip-vibrated,TenorTrombone
0.945789,-1.160755,1.112418,0.00303,194,320.2917,327.0301,656.7627,0.000027,324.116,-0.99705,0.057703,-0.027384,37.18182,0.17191,-0.155578,string,chordophone,chrd_composite,Violin
1.850129,-1.44344,0.970061,0.004756,132,250.0779,266.0211,390.2893,0.000001,359.4531,-0.999141,0.026249,-0.029721,35.1919,0.171522,-0.026181,blown,aerophone,aero_single-reed,B-flatclarinet
1.526726,0.160334,1.136364,0.004426,256,654.334,291.279,915.1611,0,453.8707,-0.979948,0.010701,-0.037393,40.34728,0.170014,-0.242212,blown,aerophone,aero_lip-vibrated,CTrumpet
1.549887,-0.749834,1.160259,-0.007377,250,405.6765,343.3007,783.2703,0,358.6302,-0.998861,0.023882,-0.031234,35.91813,0.171253,-0.253451,blown,aerophone,aero_lip-vibrated,CTrumpet
1.396315,-0.190664,0.836651,-0.00317,125,533.5423,403.4943,912.4695,0,357.2361,-0.997632,0.055676,-0.027616,37.08441,0.171873,-0.095031,blown,aerophone,aero_single-reed,TenorSaxophone
1.040175,-0.508691,0.758359,-0.001729,285,398.4575,200.0417,522.1802,0,386.4886,-0.999801,0.00628,-0.03092,33.69117,0.17131,0.218593,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.67324,-0.757112,0.723449,0.007895,126,343.5121,241.2414,522.1802,0,384.1223,-0.999253,0.031152,-0.029169,34.85687,0.171616,0.365883,blown,aerophone,aero_single-reed,TenorSaxophone
1.519636,0.001206,1.171248,-0.002174,258,638.9216,392.7068,1041.669,0,382.1612,-0.999219,0.024597,-0.029347,35.12428,0.171586,-0.237643,blown,aerophone,aero_lip-vibrated,CTrumpet
1.027577,-0.519554,0.848587,-0.001602,305,411.8819,253.605,648.6877,0,387.768,-0.999803,0.011204,-0.030187,33.78857,0.17144,0.227624,blown,aerophone,aero_lip-vibrated,TenorTrombone
0.766223,-2.143997,2.628839,0.00032,128,234.3576,174.0898,261.0901,0,532.5203,-0.998119,0.055166,-0.027258,35.70944,0.17193,-0.696319,struck_Hrm,chordophone,chrd_simple,Piano
0.79522,-2.59124,2.871602,-0.005396,132,211.9736,194.5605,261.0901,0,537.8989,-0.995678,0.082572,-0.027423,37.92548,0.171904,-0.696172,struck_Hrm,chordophone,chrd_simple,Piano
1.239341,-0.753298,1.247349,-0.001173,229,441.1052,471.845,780.5786,0.000004,235.6071,-0.997816,0.040478,-0.030935,37.60096,0.171307,-0.161794,string,chordophone,chrd_composite,DoubleBass
1.388541,-0.772849,1.279206,-0.006229,142,409.432,321.6926,780.5786,0,369.8552,-0.996724,0.018973,-0.034523,37.40708,0.17062,-0.32253,blown,aerophone,aero_lip-vibrated,CTrumpet
1.002778,-0.369701,0.777859,0.004499,227,445.7887,274.6625,524.8718,0.000001,362.3598,-0.999553,0.007112,-0.031627,34.27474,0.17118,0.093207,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.021142,-0.04996,0.816111,-0.001038,304,546.0125,226.658,656.7627,0,366.9426,-0.999089,0.01395,-0.030678,35.39165,0.171353,0.08522,blown,aerophone,aero_double-reed,Oboe
1.520376,-1.138437,1.07232,-0.002085,222,303.2102,268.4983,522.1802,0,370.1117,-0.99923,0.027093,-0.029119,35.23465,0.171625,-0.312404,blown,aerophone,aero_lip-vibrated,DTrumpet
1.810818,-0.547763,0.552424,0.005579,187,365.651,152.5548,392.981,0.000001,328.5191,-0.986823,0.063028,-0.032838,40.84679,0.170952,-0.342021,string,chordophone,chrd_composite,ElectricGuitar
1.225879,-0.033879,0.930249,0.001823,255,612.0879,459.9487,1300.067,0,335.8446,-0.997012,0.061073,-0.029983,37.17706,0.171476,-0.055417,blown,aerophone,aero_single-reed,TenorSaxophone
1.906808,-1.425981,0.994482,-0.000783,130,256.078,277.5512,390.2893,0,378.3711,-0.999352,0.022874,-0.028865,35.01066,0.171668,-0.022712,blown,aerophone,aero_single-reed,B-flatclarinet
1.027577,-0.507582,0.861979,-0.00159,360,423.4796,289.6188,651.3794,0,378.0174,-0.99928,0.031084,-0.029749,34.63159,0.171517,0.227624,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.391502,-0.810773,1.353659,0.002749,185,407.9113,321.2717,780.5786,0,373.1171,-0.999576,0.012349,-0.029908,34.60999,0.171489,-0.2911,blown,aerophone,aero_lip-vibrated,CTrumpet
1.450107,-0.195089,0.984348,0.004454,230,554.1377,418.4011,1041.669,0.000001,329.5523,-0.998533,0.04172,-0.028959,36.31196,0.171652,0.288882,blown,aerophone,aero_single-reed,TenorSaxophone
1.330722,-0.751041,1.435725,-0.005509,203,452.0027,392.126,815.5701,0,348.1278,-0.999366,0.027418,-0.028612,34.68352,0.17171,-0.35427,blown,aerophone,aero_lip-vibrated,CTrumpet
1.526726,-0.717419,1.415448,-0.004806,187,440.2002,339.4624,783.2703,0,377.3264,-0.999269,0.023,-0.028921,35.08904,0.171658,-0.242212,blown,aerophone,aero_lip-vibrated,CTrumpet
1.07839,-0.483824,1.240787,0.007336,254,514.0376,487.6471,783.2703,0.000011,235.6724,-0.997549,0.053436,-0.029268,37.56707,0.171599,-0.276338,blown,aerophone,aero_free-reed,Accordian
1.633609,-1.337756,0.738486,-0.002515,63,232.2665,178.6616,261.0901,0,365.0797,-0.999459,0.021017,-0.02897,34.65087,0.17165,0.092157,blown,aerophone,aero_single-reed,TenorSaxophone
1.633609,-1.216011,0.755827,-0.000329,67,253.2523,191.1281,261.0901,0,370.1189,-0.999127,0.031738,-0.030879,35.3079,0.171317,0.092157,blown,aerophone,aero_single-reed,TenorSaxophone
0.991586,-0.293819,0.834953,0.007198,233,482.7903,330.106,645.9961,0.000001,357.3827,-0.999537,0.009897,-0.029983,34.6296,0.171476,0.083249,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.396315,-0.252926,1.00183,0.001393,254,536.8174,412.6357,1038.977,0.000001,350.6874,-0.997771,0.054149,-0.026922,37.10562,0.171983,-0.095031,blown,aerophone,aero_single-reed,TenorSaxophone
1.450107,-0.253445,0.982488,-0.00012,204,536.9642,424.9655,1044.36,0.000001,328.9919,-0.997934,0.056444,-0.028628,36.35448,0.171708,0.288882,blown,aerophone,aero_single-reed,TenorSaxophone
1.032484,-0.027944,0.771258,-0.004605,313,544.1692,198.2669,651.3794,0,406.5564,-0.999134,0.026086,-0.030318,35.27206,0.171417,0.08522,blown,aerophone,aero_double-reed,Oboe
1.071612,-0.092276,1.040914,0.00512,257,600.5765,476.9922,783.2703,0.000009,242.9341,-0.997944,0.042796,-0.027855,37.47494,0.171835,-0.276282,blown,aerophone,aero_free-reed,Accordian
1.549887,-0.765944,1.16757,-0.004021,261,402.4517,340.0063,783.2703,0,359.349,-0.998778,0.029938,-0.030648,36.00063,0.171358,-0.253451,blown,aerophone,aero_lip-vibrated,DTrumpet
1.519636,-0.421647,1.261593,-0.00367,167,496.8826,329.7043,783.2703,0,404.3772,-0.999374,0.019128,-0.029528,34.74065,0.171555,-0.237643,blown,aerophone,aero_lip-vibrated,CTrumpet
1.632824,-1.459801,0.710515,0.000453,63,212.137,167.4807,261.0901,0,366.2003,-0.999071,0.031846,-0.031087,35.02384,0.17128,-0.058752,blown,aerophone,aero_single-reed,TenorSaxophone
1.549887,-0.763643,1.142326,-0.00274,233,400.4047,341.6755,780.5786,0,360.0167,-0.998945,0.027935,-0.030782,35.57289,0.171334,-0.253451,blown,aerophone,aero_lip-vibrated,CTrumpet
1.075736,-0.61001,1.33571,-0.001986,260,503.8008,513.1069,783.2703,0.000006,230.6202,-0.998024,0.047231,-0.029951,36.75881,0.171482,-0.276282,blown,aerophone,aero_free-reed,Accordian
1.032484,-0.022398,0.766063,-0.000528,313,545.8684,199.1821,651.3794,0,403.2859,-0.999228,0.026957,-0.030015,35.32445,0.171471,0.08522,blown,aerophone,aero_double-reed,Oboe
1.535154,-0.727272,1.341781,0.001898,181,425.0012,324.9488,783.2703,0,381.8427,-0.999086,0.036929,-0.028478,34.95311,0.171732,-0.298967,blown,aerophone,aero_lip-vibrated,CTrumpet
1.633609,-1.321083,0.764074,0.000432,62,237.8562,191.7616,261.0901,0,365.4756,-0.999385,0.026639,-0.029551,34.61911,0.171551,0.092157,blown,aerophone,aero_single-reed,TenorSaxophone
0.873166,-2.761764,2.877774,0.001309,81,194.5274,194.9502,261.0901,0,542.7252,-0.997594,0.06313,-0.027634,36.3116,0.17187,-0.669145,struck_Hrm,chordophone,chrd_simple,Piano
0.993458,-0.474319,1.28704,-0.001261,259,532.3469,520.2859,783.2703,0.000003,233.5513,-0.998861,0.026275,-0.028931,36.41669,0.171657,-0.334808,blown,aerophone,aero_free-reed,Accordian
0.703832,-1.000849,1.13947,-0.007282,229,354.0918,334.5352,783.2703,0.00003,313.3447,-0.997817,0.130593,-0.029761,55.44253,0.180206,-0.069609,string,chordophone,chrd_composite,Violin
1.22923,-0.447606,0.880752,0.004524,170,446.4701,322.2394,651.3794,0.000004,330.0801,-0.998633,0.026271,-0.030354,36.27435,0.171411,-0.20188,blown,aerophone,aero_single-reed,TenorSaxophone
0.993458,-0.086896,1.161351,-0.003497,280,639.332,546.1969,847.8699,0.000006,245.5219,-0.998013,0.020817,-0.031949,36.72668,0.171121,-0.334808,blown,aerophone,aero_free-reed,Accordian
1.535154,0.173863,1.095262,0.006801,256,657.0409,293.7159,915.1611,0,429.9596,-0.988676,0.020003,-0.036402,40.28442,0.170229,-0.298967,blown,aerophone,aero_lip-vibrated,CTrumpet
1.445637,-0.06264,0.906392,0.002256,224,593.9511,437.1536,1173.56,0.000003,336.7299,-0.996254,0.081839,-0.02768,36.85078,0.171863,0.313422,blown,aerophone,aero_single-reed,TenorSaxophone
1.535154,-0.707619,1.426062,0.005819,205,442.253,335.7108,783.2703,0,377.4073,-0.999118,0.037081,-0.02835,34.86518,0.171754,-0.298967,blown,aerophone,aero_lip-vibrated,CTrumpet
1.22923,-0.306075,0.877814,-0.0008,172,483.2017,307.3679,651.3794,0.000002,340.4054,-0.998047,0.028872,-0.030833,37.21348,0.171325,-0.20188,blown,aerophone,aero_single-reed,TenorSaxophone
1.295816,-0.048871,1.229917,0.006458,322,658.116,517.8669,788.6536,0.000001,251.2765,-0.996827,0.052442,-0.02695,38.07961,0.171979,-0.00766,string,chordophone,chrd_composite,DoubleBass
1.25619,-0.20658,1.246448,0.000871,261,622.0146,575.7661,1170.868,0.000001,270.2029,-0.99702,0.053221,-0.025593,37.85512,0.172186,-0.157229,string,chordophone,chrd_composite,DoubleBass
1.906808,-1.088177,1.160995,0.003643,217,338.3201,325.7115,780.5786,0,380.1985,-0.999399,0.017797,-0.030979,35.10583,0.171299,-0.022712,blown,aerophone,aero_single-reed,B-flatclarinet
1.295816,-0.076122,1.253159,-0.001317,313,664.7796,562.0419,1041.669,0.000002,247.5956,-0.997189,0.051924,-0.027819,37.64525,0.171841,-0.00766,string,chordophone,chrd_composite,DoubleBass
1.46164,-1.449928,0.952168,-0.00033,135,247.7607,265.7759,390.2893,0.000001,338.0179,-0.998834,0.006326,-0.032998,35.70272,0.170922,-0.023366,blown,aerophone,aero_single-reed,B-flatclarinet
1.22923,0.061534,1.004526,0.006933,289,661.8347,476.9255,1305.45,0.000001,323.7492,-0.998489,0.041981,-0.027433,35.69248,0.171903,-0.20188,blown,aerophone,aero_single-reed,TenorSaxophone
1.536829,-1.325001,0.92036,0.00166,149,250.5286,216.806,263.7817,0,363.5386,-0.998921,0.031116,-0.029329,35.89733,0.171589,-0.252393,blown,aerophone,aero_lip-vibrated,CTrumpet
1.07839,0.130945,1.167458,0.001928,300,724.5517,542.5521,979.7607,0.000002,248.3166,-0.99654,0.055947,-0.027681,38.77585,0.171863,-0.276338,blown,aerophone,aero_free-reed,Accordian
