temporalCentroid,LogSpecCentroid,LogSpecSpread,Energy,ZeroCrossings,SpecCentroid,SpecSpread,Rolloff,Flux,bandsCoefSum,prjmin,prjmax,prjsum,prjdis,prjstd,LogAttackTime,playmethod,class 1,class2,mix1_instrument
1.448017,0.06409563,0.9259639,-0.007251305,230,648.3226,464.0328,1302.759,9.18E-06,308.2169,-0.9965576,0.07376687,-0.02738436,37.22292,0.1719102,0.3218534,blown,aerophone,aero_single-reed,TenorSaxophone
1.52806,-0.9325278,1.190378,-0.007593349,124,361.0356,300.9706,777.887,1.23E-10,384.369,-0.9994074,0.02668041,-0.02882784,34.71466,0.1716741,-0.2319108,blown,aerophone,aero_lip-vibrated,CTrumpet
1.917447,-0.8816575,1.213385,-0.000574091,189,387.2507,331.8074,909.7778,2.05E-10,387.945,-0.9986897,0.02874289,-0.03042875,35.19807,0.1713976,-0.022712,blown,aerophone,aero_single-reed,B-flatclarinet
1.471448,-0.1440807,1.145664,-0.002242118,251,617.3622,505.1145,1302.759,1.30E-08,361.5249,-0.9977182,0.04344137,-0.02803699,37.27615,0.171805,0.3266423,blown,aerophone,aero_single-reed,TenorSaxophone
1.067843,-1.341474,0.7580726,-0.002263857,127,230.0561,147.8445,390.2893,8.43E-06,327.0321,-0.9964542,0.01773479,-0.03173542,36.60662,0.1711604,-0.4145776,string,chordophone,chrd_composite,ElectricGuitar
1.390276,-0.8711309,1.399465,0.001612386,109,386.9952,298.4545,767.1204,1.61E+137,402.2791,-0.9928673,0.02746741,-0.0350561,38.81991,0.1705113,-0.2319108,blown,aerophone,aero_lip-vibrated,CTrumpet
1.799928,-1.464474,0.6546981,0.00735853,126,203.2069,108.8678,387.5977,1.72E-09,439.4172,-0.9991583,0.0180671,-0.03154238,34.76771,0.1711961,-0.342086,string,chordophone,chrd_composite,ElectricGuitar
1.299325,-0.2280644,0.931377,0.002214548,327,517.3092,317.0306,1038.977,2.57E-08,368.7317,-0.9981799,0.05645929,-0.02868214,35.56655,0.1716985,0.09879671,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.693705,-0.8114367,0.7099378,0.007989446,126,327.8489,222.1615,519.4885,3.03E-09,385.2126,-0.9993704,0.02741864,-0.02968307,34.60286,0.1715283,0.3270321,blown,aerophone,aero_single-reed,TenorSaxophone
1.388541,-0.2389667,1.347125,-0.008830553,270,586.6338,411.2985,1044.36,1.17E-09,359.3964,-0.9992289,0.02746579,-0.02858298,35.18751,0.171715,-0.3225296,blown,aerophone,aero_lip-vibrated,CTrumpet
0.8168174,-2.152447,1.549153,-0.000898918,83,153.2425,149.2212,258.3984,3.52E-13,490.6424,-0.99896,0.02234532,-0.03010286,36.17565,0.1714551,-0.6691447,struck_Hrm,chordophone,chrd_simple,Piano
1.396315,0.1281847,1.097363,0.001800757,282,715.4559,518.9085,1431.958,6.94E-08,350.7944,-0.9973953,0.04700225,-0.02837402,37.27334,0.1717497,-0.09503067,blown,aerophone,aero_single-reed,TenorSaxophone
1.906808,-1.37121,0.9980025,-0.00719502,109,258.4312,243.0387,392.981,3.85E-09,430.9415,-0.9974657,0.01191553,-0.03270912,36.94197,0.170977,-0.022712,blown,aerophone,aero_single-reed,B-flatclarinet
1.073628,-1.551596,0.6122983,-0.00237052,107,189.2769,100.3769,261.0901,5.01E-10,453.7329,-0.9967279,0.07253782,-0.02989786,36.90198,0.171491,-0.476059,string,chordophone,chrd_composite,ElectricGuitar
1.300985,-0.449021,1.239663,0.003389121,223,525.478,495.2467,783.2703,3.94E-06,252.3314,-0.996232,0.07628438,-0.02710754,37.79336,0.1719541,-0.1226992,string,chordophone,chrd_composite,DoubleBass
1.000043,-0.1946755,0.8208019,-0.002323097,284,498.7956,225.7547,651.3794,1.66E-07,361.8531,-0.9992755,0.01479385,-0.029716,35.58085,0.1715226,-0.1733523,blown,aerophone,aero_double-reed,Oboe
1.018828,-0.634965,0.7321003,-0.002092847,209,364.5608,202.0762,516.7969,4.29E-08,390.7245,-0.9992374,0.02298752,-0.02880875,35.12759,0.1716773,0.06972346,blown,aerophone,aero_lip-vibrated,TenorTrombone
0.9998207,-0.07758219,0.7766906,-0.002076028,252,530.8365,225.4593,651.3794,6.28E-08,357.258,-0.9990154,0.03411106,-0.02890121,35.63266,0.1716617,0.05500888,blown,aerophone,aero_double-reed,Oboe
1.035114,-0.5368758,0.7631382,0.001004554,326,393.1926,213.4597,519.4885,1.85E-08,377.6679,-0.9993904,0.01204154,-0.03054068,34.60747,0.1713776,0.2185927,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.679426,-0.8196627,0.6856368,0.002722973,168,322.7568,216.7285,392.981,6.39E-10,377.836,-0.9991402,0.01780231,-0.03070275,35.27942,0.1713487,0.2979614,blown,aerophone,aero_single-reed,TenorSaxophone
1.512944,-1.031347,1.22529,-0.005748379,235,365.5107,362.482,788.6536,1.78E-06,349.7035,-0.9996163,0.01612458,-0.02898064,34.41814,0.1716483,0.05435766,blown,aerophone,aero_single-reed,B-flatclarinet
1.000043,-0.2485487,0.8471136,-0.003601039,294,485.1793,225.7353,651.3794,8.43E-08,373.7416,-0.9985543,0.02778745,-0.03066436,36.40977,0.1713556,-0.1733523,blown,aerophone,aero_double-reed,Oboe
1.132893,-1.321093,0.705068,-0.007565069,126,227.1462,122.6478,390.2893,8.64E-09,403.7094,-0.9976907,0.04653413,-0.02912298,36.8355,0.1716242,-0.7124725,string,chordophone,chrd_composite,ElectricGuitar
1.045776,-0.045651,0.7579705,-0.005054699,314,540.8927,224.8237,654.071,5.99E-08,359.2315,-0.998899,0.03439485,-0.02949074,35.68882,0.1715614,0.2047289,blown,aerophone,aero_double-reed,Oboe
1.012393,-0.3409982,0.7013824,-0.009617565,247,439.0813,215.959,522.1802,1.63E-09,374.55,-0.9994724,0.02584646,-0.02901226,34.43843,0.171643,0.09856132,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.523245,-0.1186887,1.248139,-0.003000545,325,613.8875,411.9496,1047.052,7.70E-10,377.1768,-0.9990628,0.02547895,-0.03127653,35.17809,0.1712449,-0.237643,blown,aerophone,aero_lip-vibrated,CTrumpet
1.041239,-0.5778324,0.7171352,-0.001029765,245,374.1456,176.3591,519.4885,3.27E-09,383.249,-0.9994488,0.02293601,-0.02922734,34.74058,0.1716065,0.2186105,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.075736,-0.6192198,1.252442,0.001677812,217,479.2719,494.2117,780.5786,6.48E-06,227.7613,-0.9966444,0.04517728,-0.03130314,38.87269,0.17124,-0.2762819,blown,aerophone,aero_free-reed,Accordian
0.8731655,-2.140911,1.371203,-0.002733245,65,147.8424,135.1096,131.8909,1.09E-12,484.2753,-0.9991074,0.02342334,-0.02969534,35.8765,0.1715261,-0.6691447,struck_Hrm,chordophone,chrd_simple,Piano
0.9934581,-0.4744327,1.286882,0.002622077,267,532.4922,519.2392,783.2703,6.05E-06,232.1858,-0.9975889,0.03732465,-0.03030797,37.80923,0.171419,-0.3348084,blown,aerophone,aero_free-reed,Accordian
1.771543,-0.8932108,1.221547,0.006410725,188,385.062,330.7732,909.7778,2.01E-11,388.5539,-0.9978595,0.0254245,-0.03045326,35.97022,0.1713932,-0.02480273,blown,aerophone,aero_single-reed,B-flatclarinet
0.8145538,-2.642822,2.892076,0.006145121,152,209.048,194.5332,261.0901,7.92E-15,535.9503,-0.9979954,0.05781699,-0.02787579,35.97202,0.1718312,-0.6963192,struck_Hrm,chordophone,chrd_simple,Piano
1.67324,-0.7106051,0.655594,-0.001465498,126,347.2089,230.7537,522.1802,6.76E-10,386.3087,-0.9992183,0.02964484,-0.02893713,34.88406,0.1716557,0.3658826,blown,aerophone,aero_single-reed,TenorSaxophone
1.012393,-0.3589786,0.7180773,-0.003455526,254,437.0074,230.5074,522.1802,2.70E-08,345.5789,-0.9991592,0.017708,-0.02984286,35.31509,0.1715005,0.09856132,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.390276,0.1881481,1.083193,-0.004161123,290,693.2389,382.301,1044.36,4.67E-11,370.0289,-0.9995982,0.01824265,-0.02986132,34.35075,0.1714973,-0.2319108,blown,aerophone,aero_lip-vibrated,CTrumpet
0.966139,-1.812504,1.196364,-0.004186936,89,178.8631,134.3103,261.0901,1.25E-12,494.1673,-0.9994426,0.01654323,-0.03051739,34.74812,0.1713818,-0.6691447,struck_Hrm,chordophone,chrd_simple,Piano
0.9998207,-0.3521066,1.02348,-0.003075262,225,480.5753,261.9408,654.071,1.07E-07,356.6178,-0.9991194,0.02740189,-0.02746859,35.55257,0.1718968,0.05500888,blown,aerophone,aero_double-reed,Oboe
1.693705,-0.8114367,0.7099378,0.009253312,126,327.8489,222.1615,519.4885,3.03E-09,385.2126,-0.9993704,0.02741864,-0.02968307,34.60286,0.1715283,0.3270321,blown,aerophone,aero_single-reed,TenorSaxophone
1.536829,-1.236462,0.9328016,0.004307923,190,266.2685,222.6753,382.2144,1.53E-09,365.9427,-0.9992123,0.0284835,-0.02916591,35.43972,0.171617,-0.2523927,blown,aerophone,aero_lip-vibrated,CTrumpet
1.810818,-1.75357,0.4562937,-0.004108458,64,158.0546,73.6878,131.8909,3.87E-11,486.5713,-0.9963589,0.07124308,-0.02481801,36.9161,0.1722994,-0.3420211,string,chordophone,chrd_composite,ElectricGuitar
1.391502,-0.5212973,1.395834,0.007375715,208,508.9809,406.6891,915.1611,1.15E-09,347.9654,-0.9994581,0.02200499,-0.02903023,34.36573,0.17164,-0.2910995,blown,aerophone,aero_lip-vibrated,CTrumpet
1.071612,-0.723852,1.27257,0.006535461,227,457.833,491.8558,780.5786,4.22E-06,226.7277,-0.9975542,0.04001281,-0.03063193,37.75522,0.1713614,-0.2762819,blown,aerophone,aero_free-reed,Accordian
1.512944,-0.8874018,1.223939,0.001630268,226,396.3099,373.7597,907.0862,2.24E-07,354.2493,-0.9992669,0.02707449,-0.03015371,35.35851,0.1714462,0.05435766,blown,aerophone,aero_single-reed,B-flatclarinet
1.850129,-0.9534765,1.19563,-0.005437138,189,368.5725,324.0854,909.7778,1.12E-11,387.6858,-0.9982372,0.01984066,-0.0312424,35.25845,0.1712511,-0.02618124,blown,aerophone,aero_single-reed,B-flatclarinet
1.22923,-0.1528118,0.8532555,0.005423995,167,534.1893,340.8167,654.071,8.24E-07,344.2782,-0.9993305,0.01849977,-0.02964182,35.32041,0.1715354,-0.2018804,blown,aerophone,aero_single-reed,TenorSaxophone
1.549887,-0.8144084,1.118821,-0.002777243,187,373.0487,288.4001,780.5786,8.91E-09,387.0419,-0.9989315,0.02640737,-0.02904271,35.90293,0.1716378,-0.2534505,blown,aerophone,aero_lip-vibrated,CTrumpet
1.810818,-0.9599065,0.7341449,0.001157956,126,290.8842,145.2855,392.981,8.42E-08,369.0865,-0.9950153,0.01743798,-0.03243503,37.81974,0.1710292,-0.3420211,string,chordophone,chrd_composite,ElectricGuitar
1.693705,-0.8322154,0.7210909,-0.001611491,126,324.5741,222.7419,519.4885,2.37E-09,386.7674,-0.9994001,0.02774447,-0.02885155,34.5848,0.1716701,0.3270321,blown,aerophone,aero_single-reed,TenorSaxophone
1.512944,-0.3151943,1.17765,0.002484183,300,538.5607,372.3477,915.1611,6.08E-07,352.9242,-0.9991198,0.0267859,-0.02812774,35.69007,0.1717902,0.05435766,blown,aerophone,aero_single-reed,B-flatclarinet
0.79522,-2.441024,0.8823586,-0.001505821,60,107.1737,64.14582,131.8909,1.97E-07,380.2771,-0.989666,0.02623472,-0.03306224,39.24508,0.1709091,-0.6961724,struck_Hrm,chordophone,chrd_simple,Piano
1.526102,-0.9801821,1.238545,-0.000114034,226,362.9798,329.3431,785.9619,3.17E-09,368.319,-0.9992129,0.02805494,-0.03022233,35.35228,0.1714341,-0.3124043,blown,aerophone,aero_lip-vibrated,CTrumpet
1.225879,-0.4619841,0.852353,-0.002488354,182,438.0808,314.3965,522.1802,6.53E-07,333.8415,-0.9986841,0.0240328,-0.03145449,35.82499,0.1712123,-0.05541662,blown,aerophone,aero_single-reed,TenorSaxophone
1.391502,-0.52662,1.382003,0.006928961,244,502.0201,395.6523,912.4695,2.74E-10,358.5763,-0.9991363,0.03373249,-0.02898481,35.05092,0.1716476,-0.2910995,blown,aerophone,aero_lip-vibrated,CTrumpet
1.300985,-0.1861491,1.115302,0.002989796,265,583.4775,489.1134,783.2703,2.93E-06,259.9585,-0.9970708,0.0658464,-0.02694559,37.49733,0.1719796,-0.1226992,string,chordophone,chrd_composite,DoubleBass
1.021142,-0.0493793,0.7995999,0.00399101,318,543.5979,221.4559,656.7627,5.23E-09,367.1847,-0.9994774,0.008976484,-0.03102392,34.50425,0.1712908,0.08522017,blown,aerophone,aero_double-reed,Oboe
1.67324,-0.7279416,0.6480668,-0.000367509,125,341.8318,223.4811,519.4885,5.67E-10,390.2186,-0.9994427,0.02702112,-0.02908058,34.55395,0.1716314,0.3658826,blown,aerophone,aero_single-reed,TenorSaxophone
1.536829,-1.119486,1.048655,0.002712434,172,305.7986,273.0624,524.8718,3.68E-08,354.2296,-0.9987138,0.03312975,-0.03167058,36.16134,0.1711724,-0.2523927,blown,aerophone,aero_lip-vibrated,CTrumpet
1.000043,-0.5999305,1.087419,-0.000990492,181,424.3094,276.1879,654.071,5.63E-08,347.9969,-0.9988974,0.0249639,-0.03014628,35.93804,0.1714475,-0.1733523,blown,aerophone,aero_double-reed,Oboe
0.9457889,-1.507964,0.8632283,-0.001305758,184,226.5362,232.6269,387.5977,2.06E-06,323.5274,-0.9992136,0.01302412,-0.02985201,35.20849,0.1714989,-0.1555778,string,chordophone,chrd_composite,Violin
0.9986647,-0.2909812,0.7328452,0.00538593,234,462.3181,262.0586,522.1802,8.35E-07,372.9831,-0.99982,0.01126702,-0.03021313,33.62288,0.1714357,0.07950119,blown,aerophone,aero_lip-vibrated,TenorTrombone
0.9457889,-1.160755,1.112418,0.003029853,194,320.2917,327.0301,656.7627,2.73E-05,324.116,-0.9970503,0.05770308,-0.02738358,37.18182,0.1719104,-0.1555778,string,chordophone,chrd_composite,Violin
1.850129,-1.44344,0.9700612,0.004756166,132,250.0779,266.0211,390.2893,8.19E-07,359.4531,-0.9991413,0.02624918,-0.02972128,35.1919,0.1715216,-0.02618124,blown,aerophone,aero_single-reed,B-flatclarinet
1.526726,0.1603343,1.136364,0.004426278,256,654.334,291.279,915.1611,9.59E-12,453.8707,-0.979948,0.01070104,-0.03739349,40.34728,0.170014,-0.2422116,blown,aerophone,aero_lip-vibrated,CTrumpet
1.549887,-0.7498337,1.160259,-0.007377344,250,405.6765,343.3007,783.2703,9.20E-11,358.6302,-0.9988607,0.02388232,-0.03123358,35.91813,0.1712527,-0.2534505,blown,aerophone,aero_lip-vibrated,CTrumpet
1.396315,-0.1906643,0.8366509,-0.00317021,125,533.5423,403.4943,912.4695,1.18E-07,357.2361,-0.9976318,0.05567617,-0.02761597,37.08441,0.1718732,-0.09503067,blown,aerophone,aero_single-reed,TenorSaxophone
1.040175,-0.5086905,0.7583592,-0.001729384,285,398.4575,200.0417,522.1802,5.83E-09,386.4886,-0.9998009,0.006279616,-0.03091975,33.69117,0.1713097,0.2185927,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.67324,-0.7571117,0.7234488,0.007894653,126,343.5121,241.2414,522.1802,2.37E-10,384.1223,-0.9992529,0.0311519,-0.02916932,34.85687,0.1716164,0.3658826,blown,aerophone,aero_single-reed,TenorSaxophone
1.519636,0.001206474,1.171248,-0.002173969,258,638.9216,392.7068,1041.669,8.86E-11,382.1612,-0.9992192,0.02459734,-0.02934716,35.12428,0.1715861,-0.237643,blown,aerophone,aero_lip-vibrated,CTrumpet
1.027577,-0.5195542,0.8485865,-0.001602068,305,411.8819,253.605,648.6877,5.45E-08,387.768,-0.9998028,0.01120389,-0.03018719,33.78857,0.1714403,0.2276244,blown,aerophone,aero_lip-vibrated,TenorTrombone
0.7662225,-2.143997,2.628839,0.00031998,128,234.3576,174.0898,261.0901,1.87E-14,532.5203,-0.9981188,0.05516631,-0.02725796,35.70944,0.1719303,-0.6963192,struck_Hrm,chordophone,chrd_simple,Piano
0.79522,-2.59124,2.871602,-0.005395862,132,211.9736,194.5605,261.0901,2.34E-14,537.8989,-0.9956776,0.08257191,-0.02742322,37.92548,0.171904,-0.6961724,struck_Hrm,chordophone,chrd_simple,Piano
1.239341,-0.7532984,1.247349,-0.001172811,229,441.1052,471.845,780.5786,3.83E-06,235.6071,-0.9978156,0.04047825,-0.03093494,37.60096,0.1713069,-0.1617936,string,chordophone,chrd_composite,DoubleBass
1.388541,-0.7728485,1.279206,-0.006228891,142,409.432,321.6926,780.5786,1.76E-09,369.8552,-0.996724,0.0189727,-0.0345233,37.40708,0.17062,-0.3225296,blown,aerophone,aero_lip-vibrated,CTrumpet
1.002778,-0.3697013,0.7778585,0.004498969,227,445.7887,274.6625,524.8718,8.46E-07,362.3598,-0.9995535,0.007111514,-0.03162747,34.27474,0.1711804,0.0932072,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.021142,-0.04995989,0.8161109,-0.001038265,304,546.0125,226.658,656.7627,2.10E-08,366.9426,-0.9990892,0.01394991,-0.03067774,35.39165,0.1713532,0.08522017,blown,aerophone,aero_double-reed,Oboe
1.520376,-1.138437,1.07232,-0.002085225,222,303.2102,268.4983,522.1802,4.58E-10,370.1117,-0.9992304,0.02709323,-0.02911938,35.23465,0.1716249,-0.3124043,blown,aerophone,aero_lip-vibrated,DTrumpet
1.810818,-0.5477627,0.5524241,0.005579092,187,365.651,152.5548,392.981,1.03E-06,328.5191,-0.9868235,0.06302801,-0.03283825,40.84679,0.1709523,-0.3420211,string,chordophone,chrd_composite,ElectricGuitar
1.225879,-0.03387867,0.930249,0.001822798,255,612.0879,459.9487,1300.067,1.46E-07,335.8446,-0.9970125,0.06107297,-0.0299833,37.17706,0.171476,-0.05541662,blown,aerophone,aero_single-reed,TenorSaxophone
1.906808,-1.425981,0.9944824,-0.000782611,130,256.078,277.5512,390.2893,1.25E-08,378.3711,-0.9993517,0.02287359,-0.02886503,35.01066,0.1716678,-0.022712,blown,aerophone,aero_single-reed,B-flatclarinet
1.027577,-0.5075818,0.8619789,-0.001589838,360,423.4796,289.6188,651.3794,2.83E-08,378.0174,-0.9992802,0.03108354,-0.02974912,34.63159,0.1715168,0.2276244,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.391502,-0.810773,1.353659,0.00274918,185,407.9113,321.2717,780.5786,1.02E-10,373.1171,-0.9995763,0.01234905,-0.02990835,34.60999,0.1714891,-0.2910995,blown,aerophone,aero_lip-vibrated,CTrumpet
1.450107,-0.1950889,0.9843477,0.004454239,230,554.1377,418.4011,1041.669,7.14E-07,329.5523,-0.9985326,0.04171981,-0.02895864,36.31196,0.1716521,0.2888816,blown,aerophone,aero_single-reed,TenorSaxophone
1.330722,-0.7510414,1.435725,-0.005509471,203,452.0027,392.126,815.5701,2.48E-10,348.1278,-0.9993662,0.02741831,-0.02861226,34.68352,0.1717101,-0.3542704,blown,aerophone,aero_lip-vibrated,CTrumpet
1.526726,-0.7174189,1.415448,-0.004805645,187,440.2002,339.4624,783.2703,2.78E-10,377.3264,-0.9992693,0.02300001,-0.02892115,35.08904,0.1716584,-0.2422116,blown,aerophone,aero_lip-vibrated,CTrumpet
1.07839,-0.4838239,1.240787,0.007335912,254,514.0376,487.6471,783.2703,1.12E-05,235.6724,-0.9975491,0.05343592,-0.02926846,37.56707,0.1715995,-0.2763377,blown,aerophone,aero_free-reed,Accordian
1.633609,-1.337756,0.7384863,-0.002515328,63,232.2665,178.6616,261.0901,9.00E-10,365.0797,-0.9994593,0.02101669,-0.02897045,34.65087,0.1716501,0.09215708,blown,aerophone,aero_single-reed,TenorSaxophone
1.633609,-1.216011,0.7558275,-0.000328743,67,253.2523,191.1281,261.0901,7.46E-08,370.1189,-0.9991273,0.03173821,-0.03087891,35.3079,0.171317,0.09215708,blown,aerophone,aero_single-reed,TenorSaxophone
0.9915858,-0.2938188,0.8349526,0.007198201,233,482.7903,330.106,645.9961,9.40E-07,357.3827,-0.9995367,0.009896955,-0.02998281,34.6296,0.1714761,0.08324903,blown,aerophone,aero_lip-vibrated,TenorTrombone
1.396315,-0.2529265,1.00183,0.001393337,254,536.8174,412.6357,1038.977,6.34E-07,350.6874,-0.9977705,0.05414935,-0.02692177,37.10562,0.1719833,-0.09503067,blown,aerophone,aero_single-reed,TenorSaxophone
1.450107,-0.2534446,0.9824878,-0.000120415,204,536.9642,424.9655,1044.36,5.88E-07,328.9919,-0.9979337,0.05644359,-0.02862769,36.35448,0.1717076,0.2888816,blown,aerophone,aero_single-reed,TenorSaxophone
1.032484,-0.02794355,0.7712582,-0.004604992,313,544.1692,198.2669,651.3794,1.33E-08,406.5564,-0.9991343,0.02608577,-0.0303183,35.27206,0.1714171,0.08522017,blown,aerophone,aero_double-reed,Oboe
1.071612,-0.09227561,1.040914,0.005119549,257,600.5765,476.9922,783.2703,9.07E-06,242.9341,-0.997944,0.04279598,-0.02785466,37.47494,0.1718347,-0.2762819,blown,aerophone,aero_free-reed,Accordian
1.549887,-0.7659436,1.16757,-0.004021462,261,402.4517,340.0063,783.2703,9.17E-10,359.349,-0.998778,0.02993777,-0.03064784,36.00063,0.1713585,-0.2534505,blown,aerophone,aero_lip-vibrated,DTrumpet
1.519636,-0.4216467,1.261593,-0.003669709,167,496.8826,329.7043,783.2703,3.54E-11,404.3772,-0.9993738,0.01912807,-0.02952817,34.74065,0.171555,-0.237643,blown,aerophone,aero_lip-vibrated,CTrumpet
1.632824,-1.459801,0.7105151,0.000452819,63,212.137,167.4807,261.0901,1.87E-09,366.2003,-0.9990711,0.03184553,-0.03108665,35.02384,0.1712795,-0.05875231,blown,aerophone,aero_single-reed,TenorSaxophone
1.549887,-0.7636426,1.142326,-0.002740167,233,400.4047,341.6755,780.5786,9.28E-10,360.0167,-0.9989453,0.02793524,-0.03078245,35.57289,0.1713344,-0.2534505,blown,aerophone,aero_lip-vibrated,CTrumpet
1.075736,-0.6100104,1.33571,-0.001985769,260,503.8008,513.1069,783.2703,6.50E-06,230.6202,-0.9980243,0.04723105,-0.02995062,36.75881,0.1714818,-0.2762819,blown,aerophone,aero_free-reed,Accordian
1.032484,-0.0223981,0.766063,-0.000527724,313,545.8684,199.1821,651.3794,1.04E-08,403.2859,-0.999228,0.02695707,-0.03001456,35.32445,0.1714706,0.08522017,blown,aerophone,aero_double-reed,Oboe
1.535154,-0.7272723,1.341781,0.001897965,181,425.0012,324.9488,783.2703,7.70E-11,381.8427,-0.9990862,0.03692873,-0.02847846,34.95311,0.1717324,-0.2989668,blown,aerophone,aero_lip-vibrated,CTrumpet
1.633609,-1.321083,0.7640741,0.000431594,62,237.8562,191.7616,261.0901,2.55E-09,365.4756,-0.9993852,0.02663916,-0.02955099,34.61911,0.1715511,0.09215708,blown,aerophone,aero_single-reed,TenorSaxophone
0.8731655,-2.761764,2.877774,0.00130918,81,194.5274,194.9502,261.0901,2.95E-15,542.7252,-0.9975944,0.0631303,-0.02763391,36.3116,0.1718703,-0.6691447,struck_Hrm,chordophone,chrd_simple,Piano
0.9934581,-0.4743193,1.28704,-0.001261293,259,532.3469,520.2859,783.2703,2.95E-06,233.5513,-0.9988615,0.02627474,-0.0289315,36.41669,0.1716566,-0.3348084,blown,aerophone,aero_free-reed,Accordian
0.7038316,-1.000849,1.13947,-0.007282048,229,354.0918,334.5352,783.2703,3.01E-05,313.3447,-0.997817,0.1305925,-0.02976145,55.44253,0.1802059,-0.06960895,string,chordophone,chrd_composite,Violin
1.22923,-0.4476059,0.8807523,0.00452371,170,446.4701,322.2394,651.3794,3.99E-06,330.0801,-0.9986333,0.0262714,-0.03035412,36.27435,0.1714108,-0.2018804,blown,aerophone,aero_single-reed,TenorSaxophone
0.9934581,-0.08689572,1.161351,-0.003497079,280,639.332,546.1969,847.8699,6.03E-06,245.5219,-0.9980135,0.02081748,-0.03194895,36.72668,0.1711207,-0.3348084,blown,aerophone,aero_free-reed,Accordian
1.535154,0.1738631,1.095262,0.006800939,256,657.0409,293.7159,915.1611,1.30E-11,429.9596,-0.9886764,0.02000337,-0.03640238,40.28442,0.170229,-0.2989668,blown,aerophone,aero_lip-vibrated,CTrumpet
1.445637,-0.06263977,0.9063919,0.002255689,224,593.9511,437.1536,1173.56,2.87E-06,336.7299,-0.9962536,0.08183944,-0.02768004,36.85078,0.1718629,0.3134224,blown,aerophone,aero_single-reed,TenorSaxophone
1.535154,-0.7076191,1.426062,0.005819042,205,442.253,335.7108,783.2703,1.42E-10,377.4073,-0.9991184,0.03708059,-0.02834977,34.86518,0.1717537,-0.2989668,blown,aerophone,aero_lip-vibrated,CTrumpet
1.22923,-0.306075,0.8778137,-0.000799642,172,483.2017,307.3679,651.3794,2.14E-06,340.4054,-0.998047,0.02887225,-0.03083306,37.21348,0.1713253,-0.2018804,blown,aerophone,aero_single-reed,TenorSaxophone
1.295816,-0.04887129,1.229917,0.006457622,322,658.116,517.8669,788.6536,9.36E-07,251.2765,-0.996827,0.05244223,-0.02694959,38.07961,0.1719789,-0.007659924,string,chordophone,chrd_composite,DoubleBass
