inst#,actual,predicted,error,prediction
61,9:DoubleBass,9:DoubleBass,,0.998
62,9:DoubleBass,9:DoubleBass,,0.998
63,9:DoubleBass,9:DoubleBass,,0.998
64,9:DoubleBass,9:DoubleBass,,0.998
65,9:DoubleBass,9:DoubleBass,,0.998
66,9:DoubleBass,9:DoubleBass,,0.998
67,9:DoubleBass,9:DoubleBass,,0.998
68,9:DoubleBass,9:DoubleBass,,0.998
69,9:DoubleBass,9:DoubleBass,,0.998
70,9:DoubleBass,9:DoubleBass,,0.998
71,9:DoubleBass,9:DoubleBass,,0.998
72,9:DoubleBass,9:DoubleBass,,0.998
73,9:DoubleBass,9:DoubleBass,,0.998
74,9:DoubleBass,9:DoubleBass,,0.999
75,9:DoubleBass,9:DoubleBass,,0.999
76,9:DoubleBass,9:DoubleBass,,0.998
77,9:DoubleBass,9:DoubleBass,,0.998
78,9:DoubleBass,9:DoubleBass,,0.998
79,9:DoubleBass,9:DoubleBass,,0.998
80,9:DoubleBass,9:DoubleBass,,0.998
81,9:DoubleBass,9:DoubleBass,,0.998
82,9:DoubleBass,9:DoubleBass,,0.998
83,9:DoubleBass,9:DoubleBass,,0.998
84,9:DoubleBass,9:DoubleBass,,0.999
85,9:DoubleBass,9:DoubleBass,,0.998
86,9:DoubleBass,9:DoubleBass,,0.998
87,9:DoubleBass,9:DoubleBass,,0.998
88,9:DoubleBass,9:DoubleBass,,0.998
89,9:DoubleBass,9:DoubleBass,,0.998
90,9:DoubleBass,9:DoubleBass,,0.998
91,9:DoubleBass,9:DoubleBass,,0.998
92,9:DoubleBass,9:DoubleBass,,0.998
93,9:DoubleBass,9:DoubleBass,,0.999
94,9:DoubleBass,9:DoubleBass,,0.998
95,9:DoubleBass,9:DoubleBass,,0.998
96,9:DoubleBass,9:DoubleBass,,0.999
97,9:DoubleBass,9:DoubleBass,,0.998
98,9:DoubleBass,9:DoubleBass,,0.998
99,9:DoubleBass,9:DoubleBass,,0.998
100,9:DoubleBass,9:DoubleBass,,0.998
101,9:DoubleBass,9:DoubleBass,,0.998
102,9:DoubleBass,9:DoubleBass,,0.998
103,9:DoubleBass,9:DoubleBass,,0.998
104,9:DoubleBass,9:DoubleBass,,0.998
105,9:DoubleBass,9:DoubleBass,,0.998
106,9:DoubleBass,9:DoubleBass,,0.999
107,9:DoubleBass,9:DoubleBass,,0.998
108,9:DoubleBass,9:DoubleBass,,0.998
109,9:DoubleBass,9:DoubleBass,,0.998
110,9:DoubleBass,9:DoubleBass,,0.998
111,9:DoubleBass,9:DoubleBass,,0.998
112,9:DoubleBass,9:DoubleBass,,0.998
113,9:DoubleBass,9:DoubleBass,,0.998
114,9:DoubleBass,9:DoubleBass,,0.998
115,9:DoubleBass,9:DoubleBass,,0.999
116,9:DoubleBass,9:DoubleBass,,0.998
117,9:DoubleBass,9:DoubleBass,,0.998
118,9:DoubleBass,9:DoubleBass,,0.998
119,9:DoubleBass,9:DoubleBass,,0.998
120,9:DoubleBass,9:DoubleBass,,0.998
121,9:DoubleBass,9:DoubleBass,,0.998
122,9:DoubleBass,9:DoubleBass,,0.999
123,9:DoubleBass,9:DoubleBass,,0.998
124,9:DoubleBass,9:DoubleBass,,0.998
125,9:DoubleBass,9:DoubleBass,,0.998
126,9:DoubleBass,9:DoubleBass,,0.998
127,9:DoubleBass,9:DoubleBass,,0.998
128,9:DoubleBass,9:DoubleBass,,0.998
129,9:DoubleBass,9:DoubleBass,,0.998
130,9:DoubleBass,9:DoubleBass,,0.998
131,9:DoubleBass,9:DoubleBass,,0.998
132,9:DoubleBass,9:DoubleBass,,0.998
133,9:DoubleBass,9:DoubleBass,,0.998
134,9:DoubleBass,9:DoubleBass,,0.999
135,9:DoubleBass,9:DoubleBass,,0.999
136,11:Accordian,11:Accordian,,0.998
137,11:Accordian,11:Accordian,,0.998
138,11:Accordian,11:Accordian,,0.998
139,11:Accordian,11:Accordian,,0.998
140,11:Accordian,11:Accordian,,0.998
141,11:Accordian,11:Accordian,,0.998
142,11:Accordian,11:Accordian,,0.998
143,11:Accordian,11:Accordian,,0.999
144,11:Accordian,11:Accordian,,0.999
145,11:Accordian,11:Accordian,,0.998
146,11:Accordian,11:Accordian,,0.998
147,11:Accordian,11:Accordian,,0.998
148,11:Accordian,11:Accordian,,0.998
149,11:Accordian,11:Accordian,,0.998
150,11:Accordian,11:Accordian,,0.998
151,11:Accordian,11:Accordian,,0.998
152,11:Accordian,11:Accordian,,0.999
153,11:Accordian,11:Accordian,,0.999
154,11:Accordian,11:Accordian,,0.998
155,11:Accordian,11:Accordian,,0.998
156,11:Accordian,11:Accordian,,0.999
157,11:Accordian,11:Accordian,,0.998
158,11:Accordian,11:Accordian,,0.998
159,11:Accordian,11:Accordian,,0.998
160,11:Accordian,11:Accordian,,0.998
161,11:Accordian,11:Accordian,,0.998
162,11:Accordian,11:Accordian,,0.998
163,11:Accordian,11:Accordian,,0.999
164,11:Accordian,11:Accordian,,0.998
165,11:Accordian,11:Accordian,,0.998
166,11:Accordian,11:Accordian,,0.998
167,11:Accordian,11:Accordian,,0.998
168,11:Accordian,11:Accordian,,0.998
169,11:Accordian,11:Accordian,,0.998
170,11:Accordian,11:Accordian,,0.998
171,11:Accordian,11:Accordian,,0.998
172,11:Accordian,11:Accordian,,0.998
173,11:Accordian,11:Accordian,,0.998
174,11:Accordian,11:Accordian,,0.998
175,11:Accordian,11:Accordian,,0.998
176,11:Accordian,11:Accordian,,0.998
177,11:Accordian,11:Accordian,,0.998
178,11:Accordian,11:Accordian,,0.998
179,11:Accordian,11:Accordian,,0.998
180,11:Accordian,11:Accordian,,0.998
181,11:Accordian,11:Accordian,,0.998
182,11:Accordian,11:Accordian,,0.998
183,11:Accordian,11:Accordian,,0.998
184,11:Accordian,11:Accordian,,0.998
185,11:Accordian,11:Accordian,,0.998
186,11:Accordian,11:Accordian,,0.998
187,11:Accordian,11:Accordian,,0.998
188,11:Accordian,11:Accordian,,0.998
189,11:Accordian,11:Accordian,,0.998
190,11:Accordian,11:Accordian,,0.998
191,11:Accordian,11:Accordian,,0.998
192,11:Accordian,11:Accordian,,0.998
193,11:Accordian,11:Accordian,,0.998
194,11:Accordian,11:Accordian,,0.998
195,11:Accordian,11:Accordian,,0.999
196,11:Accordian,11:Accordian,,0.998
197,11:Accordian,11:Accordian,,0.998
198,11:Accordian,11:Accordian,,0.998
199,11:Accordian,11:Accordian,,0.998
200,11:Accordian,11:Accordian,,0.999
201,11:Accordian,11:Accordian,,0.998
202,11:Accordian,11:Accordian,,0.998
203,11:Accordian,11:Accordian,,0.998
204,11:Accordian,11:Accordian,,0.998
205,11:Accordian,11:Accordian,,0.998
206,11:Accordian,11:Accordian,,0.998
207,11:Accordian,11:Accordian,,0.998
208,11:Accordian,11:Accordian,,0.998
209,11:Accordian,11:Accordian,,0.998
210,11:Accordian,11:Accordian,,0.998
211,11:Accordian,11:Accordian,,0.998
212,11:Accordian,11:Accordian,,0.998
213,11:Accordian,11:Accordian,,0.998
214,11:Accordian,11:Accordian,,0.998
215,11:Accordian,11:Accordian,,0.998
216,11:Accordian,11:Accordian,,0.998
217,11:Accordian,11:Accordian,,0.998
218,11:Accordian,11:Accordian,,0.998
219,11:Accordian,11:Accordian,,0.998
220,11:Accordian,11:Accordian,,0.998
221,11:Accordian,11:Accordian,,0.998
222,11:Accordian,11:Accordian,,0.999
223,11:Accordian,11:Accordian,,0.998
224,11:Accordian,11:Accordian,,0.998
225,11:Accordian,11:Accordian,,0.998
226,11:Accordian,11:Accordian,,0.998
227,11:Accordian,11:Accordian,,0.998
228,11:Accordian,11:Accordian,,0.998
229,11:Accordian,11:Accordian,,0.999
230,11:Accordian,11:Accordian,,0.998
231,11:Accordian,11:Accordian,,0.998
232,11:Accordian,11:Accordian,,0.998
233,11:Accordian,11:Accordian,,0.998
234,11:Accordian,11:Accordian,,0.998
235,11:Accordian,11:Accordian,,0.998
236,11:Accordian,11:Accordian,,0.998
237,11:Accordian,11:Accordian,,0.998
238,11:Accordian,11:Accordian,,0.998
239,11:Accordian,11:Accordian,,0.998
240,11:Accordian,11:Accordian,,0.998
241,11:Accordian,11:Accordian,,0.998
242,11:Accordian,11:Accordian,,0.999
243,11:Accordian,11:Accordian,,0.998
244,11:Accordian,11:Accordian,,0.998
245,11:Accordian,11:Accordian,,0.998
246,11:Accordian,11:Accordian,,0.998
247,11:Accordian,11:Accordian,,0.998
248,11:Accordian,11:Accordian,,0.998
249,11:Accordian,11:Accordian,,0.998
250,11:Accordian,11:Accordian,,0.998
251,11:Accordian,11:Accordian,,0.998
252,11:Accordian,11:Accordian,,0.998
253,11:Accordian,11:Accordian,,0.998
254,11:Accordian,11:Accordian,,0.998
255,11:Accordian,11:Accordian,,0.998
256,11:Accordian,11:Accordian,,0.999
257,11:Accordian,11:Accordian,,0.998
258,11:Accordian,11:Accordian,,0.998
259,11:Accordian,11:Accordian,,0.998
260,11:Accordian,11:Accordian,,0.998
261,11:Accordian,11:Accordian,,0.998
262,11:Accordian,11:Accordian,,0.998
263,11:Accordian,11:Accordian,,0.998
264,11:Accordian,11:Accordian,,0.998
265,11:Accordian,11:Accordian,,0.998
266,11:Accordian,11:Accordian,,0.998
267,11:Accordian,11:Accordian,,0.998
268,11:Accordian,11:Accordian,,0.998
269,11:Accordian,11:Accordian,,0.998
270,11:Accordian,11:Accordian,,0.998
271,11:Accordian,11:Accordian,,0.998
272,11:Accordian,11:Accordian,,0.999
273,6:CTrumpet,6:CTrumpet,,0.998
274,6:CTrumpet,6:CTrumpet,,0.998
275,6:CTrumpet,6:CTrumpet,,0.998
276,6:CTrumpet,6:CTrumpet,,0.998
277,6:CTrumpet,6:CTrumpet,,0.998
278,6:CTrumpet,6:CTrumpet,,0.998
279,6:CTrumpet,6:CTrumpet,,0.998
280,6:CTrumpet,6:CTrumpet,,0.998
281,6:CTrumpet,6:CTrumpet,,0.998
282,6:CTrumpet,6:CTrumpet,,0.998
283,6:CTrumpet,6:CTrumpet,,0.998
284,6:CTrumpet,6:CTrumpet,,0.998
285,6:CTrumpet,6:CTrumpet,,0.998
286,6:CTrumpet,6:CTrumpet,,0.998
287,6:CTrumpet,6:CTrumpet,,0.998
288,6:CTrumpet,6:CTrumpet,,0.998
289,6:CTrumpet,6:CTrumpet,,0.998
290,6:CTrumpet,6:CTrumpet,,0.999
291,6:CTrumpet,6:CTrumpet,,0.998
292,6:CTrumpet,6:CTrumpet,,0.998
293,6:CTrumpet,6:CTrumpet,,0.998
294,6:CTrumpet,6:CTrumpet,,0.998
295,6:CTrumpet,6:CTrumpet,,0.998
296,6:CTrumpet,6:CTrumpet,,0.998
297,6:CTrumpet,19:BassSaxophone,+,0.599
298,6:CTrumpet,6:CTrumpet,,0.998
299,6:CTrumpet,6:CTrumpet,,0.998
300,6:CTrumpet,6:CTrumpet,,0.999
301,6:CTrumpet,6:CTrumpet,,0.998
302,6:CTrumpet,6:CTrumpet,,0.998
303,6:CTrumpet,6:CTrumpet,,0.998
304,6:CTrumpet,6:CTrumpet,,0.499
305,6:CTrumpet,6:CTrumpet,,0.898
306,6:CTrumpet,6:CTrumpet,,0.998
307,6:CTrumpet,6:CTrumpet,,0.998
308,6:CTrumpet,6:CTrumpet,,0.999
309,6:CTrumpet,6:CTrumpet,,0.999
310,6:CTrumpet,6:CTrumpet,,0.998
311,6:CTrumpet,6:CTrumpet,,0.998
312,6:CTrumpet,6:CTrumpet,,0.998
313,6:CTrumpet,6:CTrumpet,,0.798
314,6:CTrumpet,6:CTrumpet,,0.999
315,6:CTrumpet,3:DTrumpet,+,0.799
316,6:CTrumpet,6:CTrumpet,,0.499
317,6:CTrumpet,17:BaritoneSaxophone,+,0.699
318,6:CTrumpet,6:CTrumpet,,0.898
319,6:CTrumpet,6:CTrumpet,,0.998
320,6:CTrumpet,6:CTrumpet,,0.998
321,6:CTrumpet,6:CTrumpet,,0.998
322,6:CTrumpet,6:CTrumpet,,0.998
323,6:CTrumpet,6:CTrumpet,,0.998
324,6:CTrumpet,6:CTrumpet,,0.599
325,6:CTrumpet,6:CTrumpet,,0.998
326,6:CTrumpet,6:CTrumpet,,0.898
327,6:CTrumpet,6:CTrumpet,,0.899
328,6:CTrumpet,6:CTrumpet,,0.998
329,6:CTrumpet,6:CTrumpet,,0.999
330,6:CTrumpet,17:BaritoneSaxophone,+,0.599
331,6:CTrumpet,6:CTrumpet,,0.998
332,6:CTrumpet,6:CTrumpet,,0.998
333,6:CTrumpet,6:CTrumpet,,0.998
334,6:CTrumpet,6:CTrumpet,,0.998
335,6:CTrumpet,6:CTrumpet,,0.999
336,6:CTrumpet,6:CTrumpet,,0.998
337,6:CTrumpet,6:CTrumpet,,0.998
338,6:CTrumpet,6:CTrumpet,,0.998
339,6:CTrumpet,19:BassSaxophone,+,0.599
340,6:CTrumpet,6:CTrumpet,,0.898
341,6:CTrumpet,6:CTrumpet,,0.999
342,6:CTrumpet,6:CTrumpet,,0.998
343,6:CTrumpet,6:CTrumpet,,0.998
344,6:CTrumpet,6:CTrumpet,,0.998
345,6:CTrumpet,6:CTrumpet,,0.998
346,6:CTrumpet,6:CTrumpet,,0.998
347,6:CTrumpet,6:CTrumpet,,0.998
348,6:CTrumpet,6:CTrumpet,,0.998
349,6:CTrumpet,6:CTrumpet,,0.898
350,6:CTrumpet,6:CTrumpet,,0.999
351,6:CTrumpet,6:CTrumpet,,0.998
352,6:CTrumpet,6:CTrumpet,,0.998
353,6:CTrumpet,6:CTrumpet,,0.998
354,6:CTrumpet,6:CTrumpet,,0.998
355,6:CTrumpet,6:CTrumpet,,0.899
356,6:CTrumpet,6:CTrumpet,,0.998
357,6:CTrumpet,6:CTrumpet,,0.999
358,6:CTrumpet,6:CTrumpet,,0.798
359,6:CTrumpet,6:CTrumpet,,0.998
360,6:CTrumpet,6:CTrumpet,,0.899
361,6:CTrumpet,6:CTrumpet,,0.898
362,6:CTrumpet,6:CTrumpet,,0.998
363,6:CTrumpet,6:CTrumpet,,0.998
364,6:CTrumpet,3:DTrumpet,+,0.699
365,6:CTrumpet,6:CTrumpet,,0.999
366,6:CTrumpet,6:CTrumpet,,0.998
367,6:CTrumpet,6:CTrumpet,,0.499
368,6:CTrumpet,6:CTrumpet,,0.899
369,6:CTrumpet,6:CTrumpet,,0.899
370,6:CTrumpet,6:CTrumpet,,0.998
371,6:CTrumpet,6:CTrumpet,,0.998
372,6:CTrumpet,3:DTrumpet,+,0.499
373,6:CTrumpet,6:CTrumpet,,0.998
374,6:CTrumpet,6:CTrumpet,,0.998
375,6:CTrumpet,6:CTrumpet,,0.998
376,6:CTrumpet,6:CTrumpet,,0.998
377,6:CTrumpet,6:CTrumpet,,0.998
378,6:CTrumpet,6:CTrumpet,,0.998
379,6:CTrumpet,6:CTrumpet,,0.898
380,6:CTrumpet,6:CTrumpet,,0.998
381,6:CTrumpet,6:CTrumpet,,0.998
382,6:CTrumpet,3:DTrumpet,+,0.898
383,6:CTrumpet,6:CTrumpet,,0.998
384,6:CTrumpet,6:CTrumpet,,0.998
385,6:CTrumpet,6:CTrumpet,,0.998
386,6:CTrumpet,6:CTrumpet,,0.999
387,6:CTrumpet,6:CTrumpet,,0.998
388,6:CTrumpet,6:CTrumpet,,0.998
389,6:CTrumpet,6:CTrumpet,,0.998
390,6:CTrumpet,6:CTrumpet,,0.998
391,6:CTrumpet,6:CTrumpet,,0.898
392,6:CTrumpet,6:CTrumpet,,0.499
393,6:CTrumpet,6:CTrumpet,,0.898
394,6:CTrumpet,6:CTrumpet,,0.998
395,6:CTrumpet,19:BassSaxophone,+,0.699
396,6:CTrumpet,6:CTrumpet,,0.998
397,6:CTrumpet,6:CTrumpet,,0.799
398,6:CTrumpet,6:CTrumpet,,0.599
399,6:CTrumpet,6:CTrumpet,,0.998
400,6:CTrumpet,6:CTrumpet,,0.898
401,6:CTrumpet,6:CTrumpet,,0.899
402,6:CTrumpet,6:CTrumpet,,0.699
403,6:CTrumpet,6:CTrumpet,,0.998
404,6:CTrumpet,6:CTrumpet,,0.998
405,6:CTrumpet,19:BassSaxophone,+,0.499
406,6:CTrumpet,6:CTrumpet,,0.998
407,6:CTrumpet,6:CTrumpet,,0.998
408,6:CTrumpet,6:CTrumpet,,0.499
409,6:CTrumpet,6:CTrumpet,,0.599
410,6:CTrumpet,6:CTrumpet,,0.998
411,6:CTrumpet,6:CTrumpet,,0.998
412,6:CTrumpet,6:CTrumpet,,0.998
413,6:CTrumpet,6:CTrumpet,,0.599
414,6:CTrumpet,6:CTrumpet,,0.998
415,6:CTrumpet,6:CTrumpet,,0.998
416,6:CTrumpet,6:CTrumpet,,0.998
417,6:CTrumpet,6:CTrumpet,,0.998
418,6:CTrumpet,6:CTrumpet,,0.799
419,6:CTrumpet,6:CTrumpet,,0.998
420,6:CTrumpet,6:CTrumpet,,0.998
421,6:CTrumpet,6:CTrumpet,,0.998
422,6:CTrumpet,6:CTrumpet,,0.998
423,6:CTrumpet,6:CTrumpet,,0.998
424,6:CTrumpet,6:CTrumpet,,0.999
425,6:CTrumpet,6:CTrumpet,,0.798
426,6:CTrumpet,6:CTrumpet,,0.999
427,6:CTrumpet,6:CTrumpet,,0.999
428,6:CTrumpet,6:CTrumpet,,0.998
429,6:CTrumpet,6:CTrumpet,,0.798
430,6:CTrumpet,6:CTrumpet,,0.999
431,6:CTrumpet,6:CTrumpet,,0.998
432,6:CTrumpet,6:CTrumpet,,0.998
433,6:CTrumpet,6:CTrumpet,,0.998
434,6:CTrumpet,6:CTrumpet,,0.898
435,6:CTrumpet,6:CTrumpet,,0.998
436,6:CTrumpet,6:CTrumpet,,0.898
437,6:CTrumpet,6:CTrumpet,,0.998
438,6:CTrumpet,3:DTrumpet,+,0.499
439,6:CTrumpet,6:CTrumpet,,0.998
440,6:CTrumpet,6:CTrumpet,,0.998
441,6:CTrumpet,6:CTrumpet,,0.998
442,6:CTrumpet,6:CTrumpet,,0.998
443,6:CTrumpet,6:CTrumpet,,0.998
444,6:CTrumpet,6:CTrumpet,,0.998
445,6:CTrumpet,6:CTrumpet,,0.999
446,6:CTrumpet,6:CTrumpet,,0.998
447,6:CTrumpet,6:CTrumpet,,0.998
448,6:CTrumpet,6:CTrumpet,,0.998
449,6:CTrumpet,6:CTrumpet,,0.998
450,6:CTrumpet,6:CTrumpet,,0.998
451,6:CTrumpet,6:CTrumpet,,0.998
452,6:CTrumpet,6:CTrumpet,,0.898
453,6:CTrumpet,6:CTrumpet,,0.998
454,6:CTrumpet,6:CTrumpet,,0.898
455,6:CTrumpet,6:CTrumpet,,0.998
456,6:CTrumpet,6:CTrumpet,,0.699
457,6:CTrumpet,6:CTrumpet,,0.998
458,6:CTrumpet,6:CTrumpet,,0.998
459,6:CTrumpet,6:CTrumpet,,0.898
460,6:CTrumpet,6:CTrumpet,,0.998
461,6:CTrumpet,6:CTrumpet,,0.599
462,6:CTrumpet,6:CTrumpet,,0.998
463,6:CTrumpet,6:CTrumpet,,0.998
464,6:CTrumpet,6:CTrumpet,,0.998
465,6:CTrumpet,6:CTrumpet,,0.998
466,6:CTrumpet,6:CTrumpet,,0.898
467,6:CTrumpet,6:CTrumpet,,0.799
468,6:CTrumpet,6:CTrumpet,,0.998
469,6:CTrumpet,6:CTrumpet,,0.998
470,6:CTrumpet,6:CTrumpet,,0.998
471,6:CTrumpet,6:CTrumpet,,0.998
472,6:CTrumpet,6:CTrumpet,,0.998
473,6:CTrumpet,6:CTrumpet,,0.998
474,6:CTrumpet,6:CTrumpet,,0.599
475,6:CTrumpet,3:DTrumpet,+,0.699
476,6:CTrumpet,6:CTrumpet,,0.699
477,6:CTrumpet,6:CTrumpet,,0.998
478,6:CTrumpet,6:CTrumpet,,0.998
479,6:CTrumpet,6:CTrumpet,,0.898
480,6:CTrumpet,6:CTrumpet,,0.998
481,6:CTrumpet,6:CTrumpet,,0.998
482,6:CTrumpet,6:CTrumpet,,0.998
483,6:CTrumpet,6:CTrumpet,,0.998
484,6:CTrumpet,6:CTrumpet,,0.799
485,6:CTrumpet,6:CTrumpet,,0.998
486,6:CTrumpet,6:CTrumpet,,0.998
487,6:CTrumpet,6:CTrumpet,,0.998
488,6:CTrumpet,6:CTrumpet,,0.998
489,6:CTrumpet,6:CTrumpet,,0.899
490,6:CTrumpet,6:CTrumpet,,0.998
491,6:CTrumpet,6:CTrumpet,,0.998
492,6:CTrumpet,6:CTrumpet,,0.998
493,2:ElectricGuitar,5:Violin,+,0.998
494,2:ElectricGuitar,5:Violin,+,0.699
495,2:ElectricGuitar,18:Viola,+,0.699
496,2:ElectricGuitar,18:Viola,+,0.998
497,2:ElectricGuitar,5:Violin,+,0.899
498,2:ElectricGuitar,5:Violin,+,0.899
499,2:ElectricGuitar,2:ElectricGuitar,,0.998
500,2:ElectricGuitar,2:ElectricGuitar,,0.998
501,2:ElectricGuitar,2:ElectricGuitar,,0.799
502,2:ElectricGuitar,2:ElectricGuitar,,0.998
503,2:ElectricGuitar,5:Violin,+,0.699
504,2:ElectricGuitar,2:ElectricGuitar,,0.998
505,2:ElectricGuitar,2:ElectricGuitar,,0.998
506,2:ElectricGuitar,18:Viola,+,0.998
507,2:ElectricGuitar,2:ElectricGuitar,,0.998
508,2:ElectricGuitar,5:Violin,+,0.899
509,2:ElectricGuitar,2:ElectricGuitar,,0.998
510,2:ElectricGuitar,5:Violin,+,0.898
511,2:ElectricGuitar,5:Violin,+,0.898
512,2:ElectricGuitar,5:Violin,+,0.999
513,2:ElectricGuitar,5:Violin,+,0.998
514,2:ElectricGuitar,5:Violin,+,0.998
515,2:ElectricGuitar,5:Violin,+,0.999
516,2:ElectricGuitar,2:ElectricGuitar,,0.998
517,2:ElectricGuitar,5:Violin,+,0.998
518,2:ElectricGuitar,18:Viola,+,0.998
519,2:ElectricGuitar,22:Cello,+,0.499
520,2:ElectricGuitar,2:ElectricGuitar,,0.998
521,2:ElectricGuitar,2:ElectricGuitar,,0.998
522,2:ElectricGuitar,5:Violin,+,0.998
523,2:ElectricGuitar,18:Viola,+,0.998
524,2:ElectricGuitar,2:ElectricGuitar,,0.998
525,2:ElectricGuitar,2:ElectricGuitar,,0.599
526,2:ElectricGuitar,2:ElectricGuitar,,0.998
527,2:ElectricGuitar,5:Violin,+,0.898
528,2:ElectricGuitar,5:Violin,+,0.699
529,2:ElectricGuitar,2:ElectricGuitar,,0.998
530,2:ElectricGuitar,2:ElectricGuitar,,0.998
531,2:ElectricGuitar,2:ElectricGuitar,,0.998
532,2:ElectricGuitar,5:Violin,+,0.998
533,2:ElectricGuitar,5:Violin,+,0.998
534,2:ElectricGuitar,5:Violin,+,0.899
535,2:ElectricGuitar,2:ElectricGuitar,,0.998
536,2:ElectricGuitar,5:Violin,+,0.999
537,2:ElectricGuitar,2:ElectricGuitar,,0.599
538,2:ElectricGuitar,2:ElectricGuitar,,0.998
539,2:ElectricGuitar,18:Viola,+,0.998
540,2:ElectricGuitar,5:Violin,+,0.998
541,2:ElectricGuitar,5:Violin,+,0.798
542,2:ElectricGuitar,2:ElectricGuitar,,0.998
543,2:ElectricGuitar,5:Violin,+,0.998
544,2:ElectricGuitar,5:Violin,+,0.998
545,2:ElectricGuitar,22:Cello,+,0.499
546,2:ElectricGuitar,5:Violin,+,0.899
547,2:ElectricGuitar,2:ElectricGuitar,,0.898
548,2:ElectricGuitar,13:Marimba,+,0.499
549,2:ElectricGuitar,5:Violin,+,0.999
550,2:ElectricGuitar,18:Viola,+,0.599
551,2:ElectricGuitar,2:ElectricGuitar,,0.998
552,2:ElectricGuitar,5:Violin,+,0.998
553,2:ElectricGuitar,5:Violin,+,0.998
554,2:ElectricGuitar,5:Violin,+,0.798
555,2:ElectricGuitar,18:Viola,+,0.998
556,2:ElectricGuitar,5:Violin,+,0.899
557,2:ElectricGuitar,5:Violin,+,0.999
558,2:ElectricGuitar,2:ElectricGuitar,,0.998
559,2:ElectricGuitar,5:Violin,+,0.899
560,2:ElectricGuitar,5:Violin,+,0.998
561,2:ElectricGuitar,5:Violin,+,0.998
562,2:ElectricGuitar,5:Violin,+,0.899
563,2:ElectricGuitar,5:Violin,+,0.998
564,2:ElectricGuitar,2:ElectricGuitar,,0.998
565,2:ElectricGuitar,2:ElectricGuitar,,0.599
566,2:ElectricGuitar,2:ElectricGuitar,,0.998
567,2:ElectricGuitar,2:ElectricGuitar,,0.998
568,2:ElectricGuitar,5:Violin,+,0.998
569,2:ElectricGuitar,5:Violin,+,0.999
570,2:ElectricGuitar,5:Violin,+,0.998
571,2:ElectricGuitar,2:ElectricGuitar,,0.599
572,2:ElectricGuitar,5:Violin,+,0.998
573,2:ElectricGuitar,5:Violin,+,0.899
574,2:ElectricGuitar,5:Violin,+,0.899
